,Player,Pos,Age,Tm,G,FG%,2P FG%,3P FG%
277,Tyler Johnson,SG,27,PHO,31,0.38,0.466,0.289
278,Nikola Jokić,C,24,DEN,73,0.528,0.594,0.314
279,Damian Jones,C,24,ATL,55,0.68,0.7040000000000001,0.222
280,Derrick Jones Jr.,SF,22,MIA,59,0.527,0.677,0.28
281,Tyus Jones,PG,23,MEM,65,0.45899999999999996,0.49200000000000005,0.379
282,Cory Joseph,PG,28,SAC,72,0.415,0.455,0.35200000000000004
283,Mfiondu Kabengele,C,22,LAC,12,0.43799999999999994,0.41700000000000004,0.45
284,Frank Kaminsky,C,26,PHO,39,0.45,0.53,0.331
285,Enes Kanter,C,27,BOS,58,0.5720000000000001,0.581,0.14300000000000002
286,Luke Kennard,SG,23,DET,28,0.442,0.491,0.39899999999999997
287,Michael Kidd-Gilchrist,SF-PF,26,TOT,25,0.33299999999999996,0.37,0.25
288,Michael Kidd-Gilchrist,PF,26,CHO,12,0.34,0.361,0.294
289,Michael Kidd-Gilchrist,SF,26,DAL,13,0.308,0.4,0.0
290,Louis King,SF,20,DET,10,0.381,0.4,0.364
291,Maxi Kleber,C,28,DAL,74,0.461,0.605,0.373
292,Brandon Knight,PG,28,TOT,25,0.353,0.389,0.344
293,Brandon Knight,PG,28,CLE,16,0.326,0.409,0.297
294,Kevin Knox,SF,20,NYK,65,0.359,0.391,0.327
295,John Konchar,SG,23,MEM,19,0.649,0.7040000000000001,0.5
296,Furkan Korkmaz,SG,22,PHI,72,0.43,0.478,0.402
297,Luke Kornet,C,24,CHI,36,0.439,0.6459999999999999,0.287
298,Kyle Korver,SF,38,MIL,58,0.43,0.48200000000000004,0.418
299,Rodions Kurucs,PF,21,BRK,47,0.446,0.529,0.36700000000000005
300,Kyle Kuzma,PF,24,LAL,61,0.436,0.518,0.316
301,Skal Labissière,C,23,POR,33,0.551,0.5820000000000001,0.231
302,Jeremy Lamb,SG,27,IND,46,0.451,0.508,0.335
303,Romeo Langford,SG,20,BOS,32,0.35,0.434,0.185
304,Zach LaVine,SG,24,CHI,60,0.45,0.49700000000000005,0.38
305,Jake Layman,PF,25,MIN,23,0.45299999999999996,0.5329999999999999,0.33299999999999996
306,T.J. Leaf,PF,22,IND,28,0.419,0.456,0.278
307,Courtney Lee,SG,34,DAL,24,0.488,0.5429999999999999,0.447
308,Damion Lee,SG,27,GSW,49,0.41700000000000004,0.47100000000000003,0.35600000000000004
309,Alex Len,C,26,TOT,55,0.555,0.619,0.271
310,Alex Len,C,26,ATL,40,0.546,0.627,0.25
311,Alex Len,C,26,SAC,15,0.593,0.589,0.667
312,Kawhi Leonard,SF,28,LAC,57,0.47,0.506,0.37799999999999995
313,Meyers Leonard,C,27,MIA,51,0.509,0.623,0.414
314,Caris LeVert,SG,25,BRK,45,0.425,0.451,0.364
315,Damian Lillard,PG,29,POR,66,0.46299999999999997,0.524,0.401
316,Nassir Little,PF,19,POR,48,0.43,0.5539999999999999,0.237
317,Kevon Looney,C,23,GSW,20,0.36700000000000005,0.431,0.071
318,Brook Lopez,C,31,MIL,68,0.435,0.5489999999999999,0.314
319,Robin Lopez,C,31,MIL,66,0.49200000000000005,0.5770000000000001,0.33299999999999996
320,Kevin Love,PF,31,CLE,56,0.45,0.537,0.374
321,Kyle Lowry,PG,33,TOR,58,0.41600000000000004,0.504,0.35200000000000004
322,Timothé Luwawu-Cabarrot,SG,24,BRK,47,0.435,0.505,0.38799999999999996
323,Trey Lyles,PF,24,SAS,63,0.446,0.503,0.387
324,Ian Mahinmi,C,33,WAS,38,0.495,0.5379999999999999,0.192
325,Thon Maker,C,22,DET,60,0.48200000000000004,0.55,0.344
326,Terance Mann,SG,23,LAC,41,0.46799999999999997,0.508,0.35
327,Boban Marjanović,C,31,DAL,44,0.573,0.603,0.235
328,Lauri Markkanen,PF,22,CHI,50,0.425,0.518,0.344
329,Caleb Martin,SF,24,CHO,18,0.44,0.36200000000000004,0.541
330,Cody Martin,SF,24,CHO,48,0.43,0.546,0.23399999999999999
331,Kelan Martin,SF,24,MIN,31,0.392,0.541,0.26
332,Garrison Mathews,SG,23,WAS,18,0.429,0.5,0.413
333,Wesley Matthews,SG,33,MIL,67,0.396,0.47200000000000003,0.364
334,Patrick McCaw,SF,24,TOR,37,0.414,0.484,0.324
335,CJ McCollum,SG,28,POR,70,0.451,0.494,0.379
336,T.J. McConnell,PG,27,IND,71,0.516,0.525,0.294
337,Jalen McDaniels,PF,22,CHO,16,0.47100000000000003,0.522,0.375
338,Doug McDermott,PF,28,IND,69,0.488,0.5489999999999999,0.435
339,JaVale McGee,C,32,LAL,68,0.637,0.64,0.5
340,Rodney McGruder,SG,28,LAC,56,0.39799999999999996,0.522,0.27
341,Alfonzo McKinnie,SF,27,CLE,40,0.42700000000000005,0.557,0.215
342,Jordan McLaughlin,PG,23,MIN,30,0.489,0.569,0.382
343,Ben McLemore,SG,26,HOU,71,0.444,0.6559999999999999,0.4
344,Jordan McRae,SG,28,TOT,37,0.40700000000000003,0.433,0.35700000000000004
345,Jordan McRae,SG,28,WAS,29,0.42,0.441,0.377
346,Nicolò Melli,C,29,NOP,60,0.42100000000000004,0.573,0.335
347,De'Anthony Melton,PG,21,MEM,60,0.401,0.46399999999999997,0.28600000000000003
